CrossingID,Submission,ReportBase,ParentRepo,CrossingCl,ReportingA,Reportin_1,RevisionDa,ReasonID,Crossing_1,ReportStat,LastUpdate,Railroad,StateCD,StateName,CntyCD,CountyName,Nearest,CityCD,CityName,Street,BlockNumb,Highway,SepInd,SepRr1,SepRr2,SepRr3,SepRr4,MultFrmsFi,SameInd,SameRr1,SameRr2,SameRr3,SameRr4,RrID,Ttstn,TtstnNam,RrMain,XingOwnr,TypeXing,XPurpose,PosXing,OpenPub,TypeTrnSrv,DevelTypID,XingAdj,XngAdjNo,Whistban,WhistDate,HscoRrid,SfxHscoRri,Latitude,Longitude,LLsource,RrNarr1,RrNarr2,RrNarr3,RrNarr4,StNarr1,StNarr2,StNarr3,StNarr4,RrNarr,StNarr,THRRequest,CCMQzid,OperatingR,Operatin_1,RrDiv,RrSubDiv,Branch,PrfxMilePo,MilePost,SfxMilePos,Lt1PassMov,PassCnt,DayThru,NghtThru,TotalSwt,TotalLtr,Lt1Mov,WeekTrnMov,YearTrnMov,MaxTtSpd,MinSpd,MaxSpd,MainTrk,SidingTrk,YardTrk,TransitTrk,IndustryTr,OthrTrk,OthrTrkDes,SpselIDs,Sgnleqp,EMonitorDv,HealthMoni,NoSigns,XBuck,StopStd,YieldStd,AdvWarn,AdvW10_1,AdvW10_2,AdvW10_3,AdvW10_4,AdvW10_11,AdvW10_12,Low_Grnd,Low_GrndSi,PaveMrkIDs,Channel,Exempt,EnsSign,OthSgn,OthSgn1,OthDes1,OthSgn2,OthDes2,OthSgn3,OthDes3,PrvxSign,Led,Gates,GatePed,GateConf,GateConfTy,FlashOv,FlashNov,CFlashType,FlashPost,FlashPostT,Bkl_FlashP,Sdl_FlashP,FlashPai,AwdIDate,AwhornChk,AwhornlDat,HwyTrafSig,Wigwags,Bells,SpecPro,FlashOth,FlashOthDe,HwynrSig,Intrprmp,PrempType,HwtrfPsig,HwtrfPsigs,HwtrfPsigl,MonitorDev,WdCode,TraficLn,TraflnType,HwyPved,Downst,Illumina,XSurfDate,XSurfWidth,XSurfLengt,XSurfaceID,XSurOthr,HwyNear,HwynDist,XAngle,ComPower,HwySys,HwyClassCD,HwyClassrd,StHwy1,HwySpeed,HwySpeedps,LrsRouteid,LrsMilePos,Aadt,AadtYear,PctTruk,SchlBusChk,SchlBsCnt,HazmtVeh,EmrgncySrv,ReportYear,ReportType
943190K,Full Inventory Record,2566453,2566453,No,1,2272,6/9/2011 12:00:00 AM,15,SVTX,Published,3/7/2015 1:12:19 PM,SVTX,44,RI,44009,WASHINGTON,0,440090155,NORTH KINGSTOWN,WEST DAVISVILLE R,,L,0,,,,,0,0,,,,,,0,,,,2,1,2,1,,13,2,,0,,0,,41.60797600000,-71.47257100000,1,,,,,,,,,,,,,SVTX,Primary,SYSTEM,SYSTEM,W. DAVISVILLE Y,,0.00000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,2,2,0,,0,,0,,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,,0,2011,Major
537159F,Full Inventory Record,2194244,1358263,Yes,2,11831,5/3/2007 12:00:00 AM,16,PW,Published,3/7/2015 1:12:19 PM,PW,44,RI,44007,PROVIDENCE,0,440070051,CUMBERLAND HILL,ABBOTT,,,2,,,,,0,1,PW,,,,005,151119,VALLEY FALLS,,,3,1,1,0,,13,0,,0,,0,,41.90300000000,-71.38939700000,0,,,,,,,,,,,,,PW,Primary,NORTHEASTERN,NEW ENGLAND,VALLEY FALLS IN,,0.05000000000,,0,0,0,0,1,0,0,0,0,5,5,5,1,0,0,0,0,0,,18,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,,"1,2",0,0,0,2,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,3,2,0,1,2,0,0,0,0,12,,2,0,3,1,3,1,17,2,0,0,,,5000,1988,5,2,0,,0,2007,Major
537008R,Full Inventory Record,2194208,177082,No,2,11831,5/3/2007 12:00:00 AM,14,RDOT,Published,3/7/2015 1:12:19 PM,RDOT,44,RI,44001,BRISTOL,0,440010225,WARREN,MARKET ST,,,2,,,,,0,2,,,,,1149,152121,,,,0,2,1,0,,12,0,,0,,0,,41.73059800000,-71.28130300000,0,,,,,,,,,,,,,RDOT,Primary,NORTHEASTERN,NEWENGLAND DIV,BRISTOL SEC TRK,,11.49000000000,,0,0,1,0,0,0,0,0,0,8,5,8,1,0,0,0,0,0,,11,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,5,2,0,1,2,0,0,0,0,12,,2,0,3,1,3,1,16,2,0,0,,,4700,1970,6,2,0,,0,2007,Major
536966Y,Full Inventory Record,2194180,883623,Yes,2,11831,5/3/2007 12:00:00 AM,16,PW,Published,3/7/2015 1:12:19 PM,PW,44,RI,44003,KENT,1,440030048,COVENTRY,(MPLE AVE)HLDN ST,,,2,,,,,0,2,,,,,1430,153132,WASHINGTON,,,3,1,1,0,,12,0,,0,,0,,41.69100200000,-71.55880000000,0,,,,,,,,,,,,,PW,Primary,NORTHEASTERN,NEW ENGLAND,WASHINGTON SEC,,14.30000000000,,0,0,0,0,2,0,0,0,0,25,5,8,1,0,1,0,0,1,YARD TRK,18,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,,"1,2",0,0,0,2,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,1,0,0,,0,,0,0,,,0,6,2,0,1,2,0,0,0,0,12,,2,0,3,1,8,0,19,2,0,0,,,200,1988,3,2,0,,0,2007,Major
861528P,Full Inventory Record,3158174,296430,No,2,11831,3/1/2016 12:00:00 AM,14,SUB,Published,3/1/2016 10:54:44 AM,SUB,44,RI,44007,PROVIDENCE,0,440070057,EAST PROVIDENCE,Henderson Bridge,,CITY,0,,,,,0,0,,,,,2.30,151231,E PROVIDENCE,,,3,1,2,0,,0,0,,0,,0,,41.82904900000,-71.37502200000,0,,,,,,,,,,,,,SUB,Primary,,,E PROV 2NDARY,,2.30000000000,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,2,2,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0,18,0,0,0,,,0,1970,0,2,0,,1,2016,Major
861517C,Full Inventory Record,4833514,3965160,No,1,1908,5/14/2021 12:00:00 AM,14,PW,Published,5/14/2021 10:32:02 AM,PW,44,RI,44007,PROVIDENCE,0,440070260,WOONSOCKET,MAIN ST,,CITY,2,,,,,2,2,,,,,16.16,151120,WOONSOCKETRIV,-1,-1,3,1,3,0,"11,16",13,2,,0,,-1,,42.00381210000,-71.51274310000,1,,,,,,,,,,,,,PW,Primary,NORTHERN,MAIN LINE,MAIN,,16.16000000000,,1,0,4,2,0,0,2,0,2021,25,0,25,1,0,0,0,0,0,,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,,,0,0,0,2,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,2,2,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,8,0,13,0,0,0,,,0,1970,0,2,0,,1,2021,Major
536985D,Full Inventory Record,2194189,177060,No,2,11831,5/3/2007 12:00:00 AM,14,RDOT,Published,3/7/2015 1:12:19 PM,RDOT,44,RI,44007,PROVIDENCE,0,440070057,EAST PROVIDENCE,(MOBIL OIL CO),,,0,,,,,0,0,,,,,497,151237,RIVERSIDE,,,0,2,1,0,,0,0,,0,,0,,41.79302600000,-71.37565600000,0,,,,,,,,,,,,,RDOT,Primary,NORTHEASTERN,NEWENGLAND DIV,BRISTOL SEC TRK,,4.97000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,,0,,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,1970,0,2,0,,0,2007,Major
909977U,Full Inventory Record,5054926,5054870,No,1,1908,6/21/2022 12:00:00 AM,24,PW,Published,6/21/2022 3:48:23 PM,PW,44,RI,44007,PROVIDENCE,0,440070190,PROVIDENCE,Harris Avenue,,SR,2,,,,,2,2,,,,,,151232,E PROVIDNCE W,-1,-1,3,1,1,0,11,12,2,,0,,-1,,41.82702000000,-71.42392300000,1,,,,,,,,,,,,,PW,Primary,NORTHERN,HARBOR JUNCTION,PROVJOURNAL SP,NON,0.00000000000,,2,0,0,0,0,0,1,0,2022,0,0,0,0,1,0,0,0,1,SIDETRACK,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,,0,0,2,2,2,0,,0,,0,,0,No,0,0,0,0,0,0,0,0,0,2,2,0,-1,2,,2,0,0,0,0,,2,1,0,0,,,0,1,2,0,1,2,1,0,24,66,12,,2,0,0,2,3,1,17,2,25,2,,,5200,2018,10,2,0,,2,2022,Major
537147L,Full Inventory Record,3158118,2533593,No,2,11831,3/1/2016 12:00:00 AM,14,ATK,Published,3/1/2016 8:44:56 AM,ATK,44,RI,44007,PROVIDENCE,0,440070180,PAWTUCKET,DEXTER ST,,Principal Arterial,0,,,,,0,0,,,,,189.61,151211,,,ATK,3,1,2,0,13,0,0,,0,,0,,41.91310100000,-71.38580300000,0,,,,,,,,,,,,,ATK,Primary,NORTHEAST,EAST,SHORE LINE,,189.61000000000,,0,70,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,2,2,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,1,2,2,0,2,1,0,0,0,,,0,0,0,0,8,0,13,1,0,0,,,0,1970,0,2,0,,1,2016,Major
536935A,Full Inventory Record,2194161,177011,Yes,2,11831,5/3/2007 12:00:00 AM,16,PW,Published,3/7/2015 1:12:19 PM,PW,44,RI,44007,PROVIDENCE,0,440070050,CRANSTON,BURNHAM AVE.,,,0,,,,,0,0,,,,,3.41,151268,PRINT WORKS,,,3,1,3,0,,0,0,,0,,0,,41.79309800000,-71.44870000000,0,,,,,,,,,,,,,PW,Primary,NORTHEASTERN,NEW ENGLAND,WASHINGTON SEC,,3.41000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,0,,0,0,,,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,1970,0,2,0,,0,2007,Major
